"Company";"TypeName";"Inches";"resolution_height";"touchscreen";"resolution_width";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"secondary_storage";"primrary_storage";"memory_type";"gpu_brand";"OpSys";"Weight";"Price";"id"
"Dell";"2 in 1 Convertible";13.3;1080;1;1920;"Intel";"Core i7";1.8;16;0;512;"SSD";"Intel";"windows";1.62;68145;128
"Asus";"Notebook";17.3;1080;0;1920;"Intel";"Core i3";2.0;4;0;1024;"HDD";"Nvidia";"windows";2.0;30050;129
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Nvidia";"windows";2.0;60886;130
"HP";"Notebook";15.6;768;0;1366;"Intel";"Core i5";2.5;8;0;256;"SSD";"AMD";"windows";1.91;32980;131
"Dell";"Workstation";17.3;1080;0;1920;"Intel";"Core i7";2.9;16;0;256;"SSD";"Nvidia";"windows";3.42;153705;132
"Asus";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Nvidia";"windows";1.7;59567;133
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"AMD";"linux";2.2;36089;134
"Toshiba";"Notebook";13.3;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.05;89084;135
"Lenovo";"2 in 1 Convertible";13.9;1080;1;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.4;85195;136
"Acer";"Notebook";15.6;1080;1;1920;"Intel";"Core i3";2.4;6;0;1024;"HDD";"Intel";"windows";2.1;25521;137
"Acer";"2 in 1 Convertible";13.3;1080;1;1920;"Intel";"Core i7";2.5;8;0;256;"SSD";"Intel";"windows";1.6;42038;138
"HP";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.96;31914;139
"Asus";"Ultrabook";15.6;1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Nvidia";"windows";1.7;55939;140
"Lenovo";"Notebook";14.0;768;0;1366;"Intel";"Celeron Dual";1.1;4;0;500;"HDD";"Intel";"windows";2.1;15931;141
"HP";"Notebook";15.6;1080;0;1920;"AMD";"A6-Series 9220";2.5;4;0;256;"SSD";"AMD";"windows";1.86;21232;142
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";1.8;8;0;512;"SSD";"Nvidia";"windows";2.16;67239;143
"Dell";"Notebook";15.6;768;0;1366;"Intel";"Celeron Dual";1.6;4;0;500;"HDD";"Intel";"linux";2.2;14647;144
"Lenovo";"2 in 1 Convertible";14.0;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.74;47899;145
"HP";"Ultrabook";12.5;1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";1.26;71129;146
"Asus";"2 in 1 Convertible";13.3;1080;1;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.27;49444;147
"Dell";"Notebook";15.6;768;0;1366;"Intel";"Core i3";2.4;4;0;1024;"HDD";"Intel";"windows";2.18;31254;148
"Lenovo";"Notebook";15.6;1080;0;1920;"AMD";"A12-Series 9720P";3.6;12;0;2048;"HDD";"AMD";"windows";2.2;47899;149
"HP";"Notebook";15.6;1080;0;1920;"Intel";"Core i3";2.4;8;0;1024;"HDD";"Nvidia";"windows";2.1;38148;150
"Asus";"Gaming";15.6;1080;0;1920;"Intel";"Core i7";2.8;16;1024;128;"Hybrid";"Nvidia";"windows";2.2;77203;151
"MSI";"Gaming";15.6;1080;0;1920;"Intel";"Core i7";2.8;16;2048;256;"Hybrid";"Nvidia";"windows";1.8;119427;152
"HP";"Notebook";13.3;1080;0;1920;"Intel";"Core i5";1.6;4;0;128;"SSD";"Intel";"windows";1.49;38681;153
"Toshiba";"Ultrabook";13.3;1080;0;1920;"Intel";"Core i7";2.5;8;0;256;"SSD";"Intel";"windows";1.2;72621;154
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;4;0;256;"SSD";"AMD";"linux";2.3;31909;155
"Dell";"Notebook";15.6;2160;1;3840;"Intel";"Core i7";2.8;32;0;1024;"SSD";"Nvidia";"windows";2.06;140606;156
"Lenovo";"Notebook";15.6;1080;0;1920;"AMD";"A10-Series 9600P";2.4;6;0;1024;"HDD";"AMD";"windows";2.4;26587;157
"Lenovo";"Netbook";11.6;768;0;1366;"Intel";"Celeron Dual";1.6;4;0;16;"SSD";"Intel";"other";1.25;14119;158
"Lenovo";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Nvidia";"other";2.2;33513;159
"Lenovo";"Notebook";13.3;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.44;50563;160
"Chuwi";"Notebook";15.6;1080;0;1920;"Intel";"Atom x5-Z8350";1.4;4;0;64;"Flash Storage";"Intel";"windows";1.89;13261;161
"HP";"Notebook";13.3;1080;0;1920;"Intel";"Core i7";1.8;8;0;512;"SSD";"Intel";"windows";1.49;58768;162
"Lenovo";"2 in 1 Convertible";13.9;2160;1;3840;"Intel";"Core i7";1.8;16;0;512;"SSD";"Intel";"windows";1.4;111835;163
"MSI";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;8;1024;256;"Hybrid";"Nvidia";"windows";2.7;63883;164
"Asus";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";2.7;8;1024;256;"Hybrid";"Intel";"windows";2.0;65215;165
"Dell";"Ultrabook";13.3;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Intel";"windows";1.21;87859;166
"Lenovo";"Notebook";15.6;768;0;1366;"Intel";"Core i3";2.0;4;0;128;"SSD";"Intel";"windows";2.3;30103;167
"Dell";"Notebook";13.3;768;0;1366;"Intel";"Core i3";2.0;4;0;128;"SSD";"Intel";"windows";1.65;36710;168
"Dell";"Ultrabook";13.3;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Intel";"windows";1.2;84129;169
"Asus";"Ultrabook";15.6;1080;0;1920;"Intel";"Core i7";2.7;16;0;512;"SSD";"Nvidia";"windows";1.63;78215;170
"Acer";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";1.6;4;0;1024;"HDD";"Nvidia";"windows";2.2;32661;171
"Lenovo";"Notebook";14.0;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.75;55891;172
"Acer";"Notebook";15.6;768;0;1366;"Intel";"Core i3";2.4;4;0;1024;"HDD";"Intel";"windows";2.4;20460;173
"HP";"Ultrabook";14.0;1080;0;1920;"Intel";"Core i7";2.5;8;0;256;"SSD";"Intel";"windows";1.43;79920;174
"Dell";"Workstation";15.6;1080;0;1920;"Intel";"Core i7";2.7;16;0;512;"SSD";"Nvidia";"windows";2.17;124569;175
"Asus";"Notebook";14.0;768;0;1366;"Intel";"Core i3";2.4;4;0;128;"SSD";"Intel";"windows";1.3;27120;176
"HP";"Notebook";17.3;1080;0;1920;"Intel";"Core i7";1.8;16;0;512;"SSD";"Nvidia";"windows";2.5;67719;177
"HP";"Ultrabook";13.3;1080;0;1920;"Intel";"Core i7";2.7;8;0;512;"SSD";"Intel";"windows";1.34;70489;178
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";2.8;16;0;512;"SSD";"Nvidia";"windows";2.06;101179;179
"Acer";"Notebook";15.6;768;0;1366;"AMD";"A9-Series 9420";3.0;4;0;256;"SSD";"AMD";"windows";2.1;24029;180
"Asus";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;16;1024;256;"Hybrid";"Nvidia";"windows";2.9;113060;181
"Lenovo";"Ultrabook";12.5;1080;0;1920;"Intel";"Core i7";2.7;16;0;512;"SSD";"Intel";"windows";1.36;95797;182
"Asus";"Gaming";15.6;1080;0;1920;"AMD";"FX 9830P";3.0;8;0;1024;"HDD";"AMD";"windows";2.45;37243;183
"Asus";"Ultrabook";14.0;1080;0;1920;"Intel";"Core i7";2.7;8;0;512;"SSD";"Intel";"windows";1.1;99793;184
"Asus";"Ultrabook";12.5;1080;0;1920;"Intel";"Core i7";2.7;16;0;512;"SSD";"Intel";"windows";0.91;103896;185
"Lenovo";"Gaming";15.6;1080;0;1920;"Intel";"Core i7";2.8;8;1024;256;"Hybrid";"Nvidia";"other";2.4;61219;186
"Lenovo";"Notebook";17.3;900;0;1600;"Intel";"Core i5";2.5;6;0;1024;"HDD";"Nvidia";"windows";5.8;34579;187
"Toshiba";"Ultrabook";13.3;1080;0;1920;"Intel";"Core i7";2.5;16;0;512;"SSD";"Intel";"windows";1.2;93080;188
"Lenovo";"Gaming";15.6;1080;0;1920;"Intel";"Core i7";2.8;16;2048;256;"Hybrid";"Nvidia";"windows";2.4;60153;189
"Lenovo";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Nvidia";"windows";2.3;53919;190
"Acer";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";1.8;2;0;1024;"HDD";"Nvidia";"windows";2.2;36710;191
"HP";"Notebook";14.0;1080;0;1920;"Intel";"Core i5";1.6;8;0;1024;"HDD";"Intel";"windows";1.63;43263;192
"HP";"Notebook";13.3;1080;0;1920;"Intel";"Core i7";1.8;16;0;512;"SSD";"Intel";"windows";1.49;63776;193
"Lenovo";"Notebook";15.6;768;0;1366;"Intel";"Core i5";2.5;8;0;2048;"HDD";"Nvidia";"other";2.2;29251;194
"Toshiba";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";2.0;50243;195
"Dell";"Ultrabook";13.3;1080;1;1920;"Intel";"Core i5";2.5;8;0;128;"SSD";"Intel";"windows";1.29;47899;196
"Dell";"Ultrabook";14.0;1080;0;1920;"Intel";"Core i7";2.8;8;0;512;"SSD";"Intel";"windows";1.36;89510;197
