"index";"Company";"TypeName";"Inches";"screen_size";"resolution_height";"touchscreen";"resolution_width";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"secondary_storage";"primrary_storage";"memory_type";"gpu_brand";"OpSys";"Weight";"Price";"ppi"
59;"Toshiba";"Ultrabook";13.3;"1";1080;1;1920;"Intel";"Core i7";2.7;32;0;512;"SSD";"Intel";"windows";1.05;149131;166
60;"Dell";"Workstation";15.6;"2";1080;0;1920;"Intel";"Core i5";2.6;8;0;500;"HDD";"AMD";"windows";2.23;72940;141
61;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i3";2.0;4;0;256;"SSD";"AMD";"linux";2.2;25841;141
62;"MSI";"Gaming";17.3;"3";1080;0;1920;"Intel";"Core i7";2.8;8;1024;256;"Hybrid";"Nvidia";"windows";2.7;63883;127
63;"Dell";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i5";2.5;8;0;1024;"HDD";"Intel";"windows";2.14;28769;100
64;"Asus";"Gaming";17.3;"3";1080;0;1920;"Intel";"Core i7";2.8;16;1024;256;"Hybrid";"Nvidia";"windows";3.0;84768;127
65;"MSI";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;1024;128;"Hybrid";"Nvidia";"windows";2.2;58022;141
66;"Asus";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i7";2.7;8;1024;256;"Hybrid";"Intel";"windows";2.0;71076;157
67;"Lenovo";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.0;8;0;2048;"HDD";"Nvidia";"other";2.2;24456;100
68;"Asus";"2 in 1 Convertible";13.3;"1";1080;1;1920;"Intel";"Core i7";1.8;8;512;512;"SSD";"Intel";"windows";4.1;79867;166
69;"Asus";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Nvidia";"windows";1.3;63563;157
70;"Asus";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.4;4;0;1024;"HDD";"Intel";"windows";2.37;21258;100
71;"Asus";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;8;1024;256;"Hybrid";"Intel";"windows";2.0;65215;141
72;"Apple";"Ultrabook";13.3;"1";1600;0;2560;"Intel";"Core i5";2.3;8;0;256;"SSD";"Intel";"macos";1.37;80908;227
73;"Lenovo";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;8;0;1024;"HDD";"Nvidia";"windows";3.2;69211;141
74;"HP";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i7";1.8;8;0;1024;"HDD";"Intel";"windows";2.1;48059;100
75;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.8;8;1024;256;"Hybrid";"Nvidia";"windows";2.16;60224;141
76;"Dell";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.6;61219;157
77;"Dell";"Ultrabook";13.3;"1";1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Intel";"windows";1.21;87859;166
78;"HP";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i7";1.8;8;0;1024;"HDD";"Nvidia";"windows";2.5;54239;127
79;"HP";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Nvidia";"windows";2.5;49177;127
80;"Dell";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.0;4;0;1024;"HDD";"Intel";"linux";2.25;19128;100
81;"Acer";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Nvidia";"windows";2.5;45075;141
82;"Apple";"Ultrabook";13.3;"1";900;0;1440;"Intel";"Core i5";1.8;8;0;128;"Flash Storage";"Intel";"macos";1.34;47896;128
83;"HP";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"other";1.86;30636;141
84;"Toshiba";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i5";2.3;4;0;500;"HDD";"Intel";"windows";2.1;32075;100
85;"HP";"Notebook";15.6;"2";1080;0;1920;"Intel";"Pentium Quad";1.6;4;0;256;"SSD";"Intel";"windows";1.86;21258;141
86;"MSI";"Gaming";17.3;"3";1080;0;1920;"Intel";"Core i7";2.8;16;1024;256;"Hybrid";"Nvidia";"windows";2.8;119827;127
87;"Lenovo";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.0;4;0;128;"SSD";"Intel";"windows";2.3;30103;100
88;"Asus";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i7";1.8;16;0;512;"SSD";"Nvidia";"windows";1.3;79654;157
89;"Toshiba";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;0;500;"HDD";"Intel";"windows";2.0;45821;141
90;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";1.6;4;0;500;"HDD";"Intel";"windows";2.05;36497;141
91;"HP";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Intel";"windows";1.63;52641;157
92;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"AMD";"A12-Series 9720P";3.6;12;0;512;"SSD";"AMD";"windows";2.2;50563;141
93;"Lenovo";"Notebook";13.3;"1";768;0;1366;"Intel";"Celeron Dual";1.6;4;0;16;"Flash Storage";"Intel";"other";1.45;24503;118
94;"Asus";"Notebook";14.0;"1";768;0;1366;"AMD";"E-Series 6110";1.5;4;0;64;"SSD";"AMD";"windows";1.65;14811;112
95;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"AMD";"windows";2.33;47899;141
96;"Acer";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i5";1.6;12;0;1024;"HDD";"Nvidia";"windows";2.2;36976;100
97;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"AMD";"windows";2.2;39694;141
98;"Asus";"Notebook";15.6;"2";1080;0;1920;"AMD";"A10-Series A10-9620P";2.5;4;1024;128;"Hybrid";"AMD";"windows";2.2;30636;141
99;"Dell";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i5";2.6;8;0;256;"SSD";"Intel";"windows";1.64;68184;157
100;"Lenovo";"Notebook";13.3;"1";1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.1;53227;166
101;"HP";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;0;1024;"HDD";"Intel";"windows";1.86;34046;141
102;"Acer";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i5";2.5;4;0;500;"HDD";"Intel";"linux";2.4;23539;100
103;"Dell";"Workstation";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Nvidia";"windows";2.0;113753;141
104;"Acer";"Notebook";15.6;"2";768;0;1366;"AMD";"A9-Series 9420";3.0;4;0;1024;"HDD";"AMD";"windows";2.1;21046;100
105;"Lenovo";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;1024;128;"Hybrid";"Nvidia";"other";2.4;43104;141
106;"Apple";"Ultrabook";15.4;"2";1800;0;2880;"Intel";"Core i7";2.7;16;0;512;"SSD";"AMD";"macos";1.83;135195;221
107;"Lenovo";"Ultrabook";14.0;"1";1440;0;2560;"Intel";"Core i7";2.7;16;0;1024;"SSD";"Intel";"windows";1.13;139860;210
108;"HP";"2 in 1 Convertible";13.3;"1";2160;1;3840;"Intel";"Core i7";1.8;8;0;512;"SSD";"Intel";"windows";1.29;106507;331
109;"HP";"Notebook";15.6;"2";768;0;1366;"AMD";"A6-Series A6-9220";2.5;8;0;128;"SSD";"AMD";"windows";1.91;23758;100
110;"Lenovo";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.0;8;0;128;"SSD";"Intel";"windows";7.2;31382;100
111;"HP";"Notebook";13.3;"1";1080;0;1920;"Intel";"Core i5";1.6;4;0;500;"HDD";"Intel";"windows";1.49;40173;166
112;"HP";"Notebook";15.6;"2";1080;0;1920;"AMD";"A9-Series 9420";3.0;4;0;1024;"HDD";"AMD";"windows";2.1;26054;141
113;"Asus";"2 in 1 Convertible";11.6;"1";768;1;1366;"Intel";"Celeron Dual";1.1;2;0;32;"Flash Storage";"Intel";"windows";1.1;14652;135
114;"HP";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i7";1.8;16;0;1024;"HDD";"Nvidia";"windows";2.9;56424;127
115;"Dell";"Notebook";13.3;"1";768;0;1366;"Intel";"Core i3";2.0;4;0;128;"SSD";"Intel";"windows";1.65;36710;118
116;"Asus";"Notebook";14.0;"1";768;0;1366;"Intel";"Celeron Dual";1.1;4;0;32;"Flash Storage";"Intel";"windows";1.5;15238;112
117;"Dell";"Workstation";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;16;0;256;"SSD";"Nvidia";"windows";2.17;105228;141
118;"Dell";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.0;4;0;1024;"HDD";"AMD";"windows";2.2;29073;100
119;"Dell";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;16;1024;128;"Hybrid";"Nvidia";"windows";2.65;71875;141
120;"Dell";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;8;0;1024;"Hybrid";"Nvidia";"windows";2.62;47899;141
121;"Dell";"Ultrabook";13.3;"1";1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Intel";"windows";1.2;84129;166
122;"Asus";"2 in 1 Convertible";11.6;"1";768;1;1366;"Intel";"Celeron Dual";1.1;4;0;32;"Flash Storage";"Intel";"windows";1.5;19980;135
123;"Dell";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.4;8;0;1024;"HDD";"Intel";"windows";2.3;24456;100
124;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";2.3;44222;141
125;"Asus";"Notebook";17.3;"3";768;0;1366;"Intel";"Pentium Quad";1.1;4;0;1024;"HDD";"Nvidia";"windows";2.8;24828;91
126;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Intel";"windows";2.05;46886;141
127;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;4;0;1024;"HDD";"Nvidia";"windows";2.2;42571;141
128;"HP";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;0;500;"HDD";"AMD";"windows";1.9;61485;141
129;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;16;0;256;"SSD";"AMD";"linux";2.36;47899;141
130;"Dell";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i5";2.8;8;0;256;"SSD";"Nvidia";"windows";1.64;62817;157
131;"Acer";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.6;41026;157
132;"HP";"Gaming";17.3;"3";1080;0;1920;"Intel";"Core i7";2.8;12;1024;256;"Hybrid";"Nvidia";"windows";3.35;106507;127
133;"Asus";"Ultrabook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;16;0;512;"SSD";"Nvidia";"windows";1.63;78215;141
134;"HP";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.9;8;0;256;"SSD";"Intel";"windows";2.31;76031;141
135;"Asus";"Ultrabook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.8;16;1024;256;"Hybrid";"Nvidia";"windows";1.5;67239;141
136;"HP";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i3";2.4;4;0;128;"SSD";"Intel";"windows";2.1;37589;141
137;"Acer";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;8;0;256;"SSD";"Nvidia";"linux";2.5;52161;141
138;"Apple";"Ultrabook";13.3;"1";1600;0;2560;"Intel";"Core i5";2.9;8;0;512;"SSD";"Intel";"macos";1.37;104370;227
139;"Acer";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";1.6;4;0;1024;"HDD";"Nvidia";"windows";2.2;32661;141
140;"Mediacom";"Notebook";14.0;"1";1080;0;1920;"Intel";"Atom x5-Z8350";1.4;4;0;32;"SSD";"Intel";"windows";1.4;13267;157
141;"HP";"Notebook";15.6;"2";768;1;1366;"Intel";"Core i5";1.6;4;0;1024;"HDD";"Intel";"windows";2.04;27784;100
142;"HP";"Gaming";17.3;"3";1080;0;1920;"Intel";"Core i7";2.8;8;1024;128;"Hybrid";"Nvidia";"windows";3.35;63456;127
143;"Acer";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i3";2.7;4;0;1024;"HDD";"Nvidia";"windows";3.0;34898;127
144;"Lenovo";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i5";2.5;4;0;128;"SSD";"Intel";"windows";1.9;26533;100
145;"Xiaomi";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.8;16;0;256;"SSD";"Nvidia";"other";1.95;74589;141
146;"Dell";"Notebook";15.6;"2";768;1;1366;"Intel";"Core i5";2.5;8;0;2048;"HDD";"Intel";"windows";2.36;29697;100
147;"Apple";"Ultrabook";13.3;"1";1600;0;2560;"Intel";"Core i5";3.1;8;0;512;"SSD";"Intel";"macos";1.37;108691;227
148;"MSI";"Gaming";17.3;"3";1080;0;1920;"Intel";"Core i7";2.8;8;0;256;"SSD";"Nvidia";"windows";2.7;71875;127
149;"Acer";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;4;0;500;"HDD";"Nvidia";"windows";2.2;34046;141
150;"Dell";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i5";2.6;4;0;500;"HDD";"Intel";"linux";1.93;46300;100
151;"HP";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;12;1024;128;"Hybrid";"Nvidia";"windows";2.62;66547;141
152;"Asus";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;8;1024;128;"Hybrid";"Nvidia";"windows";1.99;71928;141
153;"HP";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";1.48;68838;157
154;"HP";"Ultrabook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Nvidia";"windows";1.83;37243;141
155;"Lenovo";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.75;55891;157
156;"MSI";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;16;1024;256;"Hybrid";"Nvidia";"windows";2.4;95851;141
157;"Dell";"Ultrabook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.9;16;256;512;"SSD";"Intel";"windows";1.88;85672;141
158;"Lenovo";"Workstation";15.6;"2";2160;0;3840;"Intel";"Core i7";2.8;16;0;512;"SSD";"Nvidia";"windows";2.3;130270;282
159;"Asus";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;8;1024;128;"Hybrid";"Nvidia";"windows";2.5;67399;141
160;"Lenovo";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;4;0;1024;"HDD";"Nvidia";"windows";2.4;53227;141
161;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i3";2.0;4;0;1024;"HDD";"Intel";"windows";1.85;23923;141
162;"Asus";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;24;0;512;"SSD";"Nvidia";"windows";2.24;158135;141
163;"Lenovo";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"AMD";"windows";1.75;64755;157
164;"HP";"Notebook";17.3;"3";1080;0;1920;"AMD";"A10-Series 9600P";2.4;6;0;2048;"HDD";"AMD";"windows";2.65;30316;127
165;"Acer";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Nvidia";"windows";2.2;44808;141
166;"Acer";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.4;4;0;1024;"HDD";"Intel";"windows";2.4;20460;100
167;"HP";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i3";2.0;4;0;1024;"HDD";"AMD";"windows";2.1;24988;141
168;"Acer";"Notebook";15.6;"2";768;0;1366;"AMD";"A10-Series 9620P";2.5;8;0;1024;"HDD";"AMD";"windows";2.2;30849;100
169;"Dell";"2 in 1 Convertible";13.3;"1";1080;1;1920;"Intel";"Core i7";1.8;16;0;512;"SSD";"Intel";"windows";1.62;68145;166
170;"Asus";"Notebook";15.6;"2";2160;0;3840;"Intel";"Core i7";2.7;8;1024;256;"Hybrid";"Nvidia";"windows";2.0;69211;282
171;"Asus";"Notebook";15.6;"2";768;0;1366;"Intel";"Celeron Dual";1.1;4;0;1024;"HDD";"Intel";"linux";2.0;14651;100
172;"Asus";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";1.25;55891;157
173;"HP";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i7";2.5;8;0;256;"SSD";"Intel";"windows";1.43;79920;157
174;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;0;1024;"HDD";"Intel";"windows";2.18;44542;141
175;"Acer";"Gaming";17.3;"3";1080;0;1920;"Intel";"Core i7";2.6;16;1024;128;"Hybrid";"Nvidia";"windows";4.2;103097;127
176;"HP";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";1.36;93240;157
177;"Asus";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i3";2.0;4;0;1024;"HDD";"Nvidia";"windows";2.0;30050;127
178;"Dell";"Workstation";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;16;0;512;"SSD";"Nvidia";"windows";2.17;124569;141
179;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Nvidia";"windows";2.0;60886;141
180;"Asus";"Gaming";17.3;"3";1080;1;1920;"Intel";"Core i7";2.6;24;1024;256;"Hybrid";"Nvidia";"windows";4.33;67612;127
181;"Lenovo";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.0;8;0;256;"SSD";"Nvidia";"other";2.2;26587;100
182;"Dell";"Notebook";15.6;"2";768;0;1366;"Intel";"Celeron Dual";1.6;4;0;500;"HDD";"Intel";"windows";1.8;16464;100
183;"Asus";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i5";2.5;8;500;256;"Hybrid";"Nvidia";"windows";2.69;47472;127
